Paper_Name,Total_cite_count,Publish_year,Authors,Publication_date,Conference,Pages,Publisher,cite_in_2000,cite_in_2001,cite_in_2002,cite_in_2003,cite_in_2004,cite_in_2005,cite_in_2006,cite_in_2007,cite_in_2008,cite_in_2009,cite_in_2010,cite_in_2011,cite_in_2012,cite_in_2013,cite_in_2014,cite_in_2015,cite_in_2016,cite_in_2017,cite_in_2018,cite_in_2019
Remote sensing image registration techniques: A survey,91,2010,"Suma Dawn, Vikas Saxena, Bhudev Sharma",2010/6/30,International Conference on Image and Signal Processing,103-112,"Springer, Berlin, Heidelberg",0,0,0,0,0,0,0,0,0,0,0,1,5,11,8,9,16,22,11,7
Augmented chemistry: Interactive education system,73,2012,"Samarth Singhal, Sameer Bagga, Praroop Goyal, Vikas Saxena",2012/1/1,,,Foundation of Computer Science,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,14,16,25,4
An improved and robust DCT based digital image watermarking scheme,61,2010,"Tribhuwan Kumar Tewari, Vikas Saxena",2010/6,,28-32,"International Journal of Computer Applications, 244 5 th Avenue,# 1526, New York, NY 10001, USA India",0,0,0,0,0,0,0,0,0,0,0,3,8,11,10,10,5,8,3,1
Collusion attack resistant watermarking scheme for images using DCT,46,2007,"Vikas Saxena, JP Gupta",2007/6/11,2007 IEEE 15th Signal Processing and Communications Applications,1-4,Ieee,0,0,0,0,0,0,0,1,3,4,2,5,6,4,6,3,5,3,2,0
Collusion attack resistant watermarking scheme for images using DCT,46,2007,"Vikas Saxena, JP Gupta",2007/6/11,2007 IEEE 15th Signal Processing and Communications Applications,1-4,Ieee,0,0,0,0,0,0,0,1,3,4,2,5,6,4,6,3,5,3,2,0
Performance study on image encryption schemes,31,2011,"Jolly Shah, Vikas Saxena",2011/12/5,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,3,5,7,5,4,3,0
Video encryption: A survey,31,2011,"Jolly Shah, Dr Saxena",2011/4/5,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,8,3,4,4,1
A Performance analysis of objective video quality metrics for digital video watermarking,27,2010,"Manish K Thakur, Vikas Saxena, JP Gupta",2010/7/9,2010 3rd International Conference on Computer Science and Information Technology,12-17,IEEE,0,0,0,0,0,0,0,0,0,0,0,2,2,8,6,3,3,0,1,2
Towards Increasing the Robustness of Image Watermarking Scheme Against JPEG Compression.,14,2007,"Vikas Saxena, JP Gupta",2007/3/21,,1903-1906,,0,0,0,0,0,0,0,0,1,0,2,0,3,4,1,1,0,0,0,0
Anomaly detection in network traffic and role of wavelets,13,2010,"Gagandeep Kaur, Vikas Saxena, JP Gupta",2010/4/16,2010 2nd International Conference on Computer Engineering and Technology,V7-46-V7-51,IEEE,0,0,0,0,0,0,0,0,0,0,1,4,0,2,1,1,2,0,0,1
A novel watermarking scheme for JPEG images,12,2009,"Vikas Saxena, JP Gupta",2009/2/1,,74-84,World Scientific and Engineering Academy and Society (WSEAS),0,0,0,0,0,0,0,0,0,1,2,2,0,2,1,2,1,0,1,0
Audio watermarking: Current state of art and future objectives,11,2011,"TK Tewari, V Saxena, JP Gupta",2011/7,,306-314,,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,2,0,0,0,0
Digital image watermarking,10,2008,Vikas Saxena,2008,,,Noida,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,1,0,0,1,0
Performance analysis of color channel for DCT based image watermarking scheme,10,2007,"Vikas Saxena, Paridhi Khemka, Aditi Harsulkar, JP Gupta",2007/10/1,,41-46,,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,0,0,1,1,0
Detection of TCP targeted high bandwidth attacks using self-similarity,8,2017,"Gagandeep Kaur, Vikas Saxena, JP Gupta",2017/5/13,,,Elsevier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
A Novel Approach to Generate Watermarks using Auditory Features for Audio Watermarking,"7
*",2012,"Gupta J.P Tewari T.K., Saxena V.",2012,,155-162,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,0,0,0
A novel collusion attack resistant watermarking scheme for color images,7,2007,"Vikas Saxena, JP Gupta",2007/12,,171-177,,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0
A digital audio watermarking scheme using selective mid band DCT coefficients and energy threshold,6,2014,"Tribhuwan K Tewari, Vikas Saxena, JP Gupta",2014/12/1,,365-371,Springer US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0
A novel multi scale approach for detecting high bandwidth aggregates in network traffic,6,2013,"Gagandeep Kaur, Vikas Saxena, JP Gupta",2013/9,,81-100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1
Towards increasing the robustness of image watermarking scheme against histogram equalization attack,6,2007,"Vikas Saxena, JP Gupta",2007/6/11,2007 IEEE 15th Signal Processing and Communications Applications,1-4,IEEE,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0
A full reference algorithm for dropped frames identification in uncompressed video using genetic algorithm,5,2012,"Manish K Thakur, Vikas Saxena, JP Gupta",2012/11/1,,562,Advanced Institutes of Convergence Information Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0
Characteristics analysis of web traffic with Hurst index,4,2010,"Gagandeep Kaur, Vikas Saxena, JP Gupta",2010/10/20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
Learning based no reference algorithm for dropped frame identification in uncompressed video,3,2016,"Manish K Thakur, Vikas Saxena, JP Gupta",2016,,451-459,"Springer, New Delhi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
Soft computing techniques for change detection in remotely sensed images: a review,3,2015,"Madhu Khurana, Vikas Saxena",2015/6/2,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
DEM Registration and Error Analysis using ASCII values,3,2014,"Suma Dawn, Vikas Saxena, Bhu Dev Sharma",2014/5/30,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
A multi scale approach to distinguish flash crowds from PDDoS attacks,3,2014,"Gagandeep Kaur, Vikas Saxena, JP Gupta",2014/1/1,,213-238,Inderscience Publishers Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
A Wavelet-Based Watermarking Scheme for Color Images.,3,2013,"Mohit Gupta, Deep Tarun Gupta, Vikas Saxena",2013/5/1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
DDoS detection with daubechies,3,2012,"Gagandeep Kaur, Vikas Saxena, JP Gupta",2012/8/6,International Conference on Contemporary Computing,395-406,"Springer, Berlin, Heidelberg",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Study of self-similarity for detection of rate-based network anomalies,2,2017,"Gagandeep Kaur, Vikas Saxena, Jay Prakash Gupta",2017/8/1,,27-44,SCIENCE & ENGINEERING RESEARCH SUPPORT SOC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Metadata based multi-labelling of YouTube videos,2,2017,"Neha Agarwal, Rajat Gupta, Sandeep Kumar Singh, Vikas Saxena",2017/1/12,"2017 7th International Conference on Cloud Computing, Data Science & Engineering-Confluence",586-590,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Advanced free-form deformation and Kullback–Lieblier divergence measure for digital elevation model registration,2,2015,"Suma Dawn, Vikas Saxena, Bhu Dev Sharma",2015/10/1,,1625-1635,Springer London,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Data-parallel full reference algorithm for dropped frame identification in uncompressed video using genetic algorithm,2,2013,"Manish K Thakur, Vikas Saxena, JP Gupta",2013/8/8,2013 Sixth International Conference on Contemporary Computing (IC3),467-471,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
DEM registration using watershed algorithm and chain coding,2,2011,"Suma Dawn, Vikas Saxena, Bhudev Sharma",2011/3/25,Proceedings of the Fourth Annual ACM Bangalore Conference,8,ACM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Contemporary Computing: Second International Conference, IC3 2009, Noida, India, August 17-19, 2009. Proceedings",2,2009,"Sanjay Ranka, Srinivas Aluru, Rajkumar Buyya, Yeh-Ching Chung, Sandeep Gupta, Ananth Grama, Rajeev Kumar, Vir V Phoha, Sumeet Dua",2009/8/19,,,Springer Science & Business Media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Diabetic retinopathy detection using feedforward neural network,1,2017,"Jayant Yadav, Manish Sharma, Vikas Saxena",2017/8/10,2017 Tenth International Conference on Contemporary Computing (IC3),1-3,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A hybrid video quality metric for analyzing quality degradation due to frame drop,1,2014,"Manish K Thakur, Vikas Saxena, JP Gupta",2014/5/21,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
