Paper_Name,Total_cite_count,Publish_year,Authors,Publication_date,Conference,Pages,Publisher,cite_in_2000,cite_in_2001,cite_in_2002,cite_in_2003,cite_in_2004,cite_in_2005,cite_in_2006,cite_in_2007,cite_in_2008,cite_in_2009,cite_in_2010,cite_in_2011,cite_in_2012,cite_in_2013,cite_in_2014,cite_in_2015,cite_in_2016,cite_in_2017,cite_in_2018,cite_in_2019
Remote sensing image registration techniques: A survey,92,2010,"Suma Dawn, Vikas Saxena, Bhudev Sharma",2010/6/30,International Conference on Image and Signal Processing,103-112,"Springer, Berlin, Heidelberg",0,0,0,0,0,0,0,0,0,0,0,1,5,12,8,9,16,22,11,7
Collusion attack resistant watermarking scheme for images using DCT,46,2007,"Vikas Saxena, JP Gupta",2007/6/11,2007 IEEE 15th Signal Processing and Communications Applications,1-4,Ieee,0,0,0,0,0,0,0,1,3,4,2,5,6,4,6,3,5,3,2,0
Collusion attack resistant watermarking scheme for images using DCT,46,2007,"Vikas Saxena, JP Gupta",2007/6/11,2007 IEEE 15th Signal Processing and Communications Applications,1-4,Ieee,0,0,0,0,0,0,0,1,3,4,2,5,6,4,6,3,5,3,2,0
A Performance analysis of objective video quality metrics for digital video watermarking,27,2010,"Manish K Thakur, Vikas Saxena, JP Gupta",2010/7/9,2010 3rd International Conference on Computer Science and Information Technology,12-17,IEEE,0,0,0,0,0,0,0,0,0,0,0,2,2,8,6,3,3,0,1,2
Anomaly detection in network traffic and role of wavelets,13,2010,"Gagandeep Kaur, Vikas Saxena, JP Gupta",2010/4/16,2010 2nd International Conference on Computer Engineering and Technology,V7-46-V7-51,IEEE,0,0,0,0,0,0,0,0,0,0,1,4,0,2,1,1,2,0,0,1
Towards increasing the robustness of image watermarking scheme against histogram equalization attack,6,2007,"Vikas Saxena, JP Gupta",2007/6/11,2007 IEEE 15th Signal Processing and Communications Applications,1-4,IEEE,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0
DDoS detection with daubechies,3,2012,"Gagandeep Kaur, Vikas Saxena, JP Gupta",2012/8/6,International Conference on Contemporary Computing,395-406,"Springer, Berlin, Heidelberg",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Metadata based multi-labelling of YouTube videos,2,2017,"Neha Agarwal, Rajat Gupta, Sandeep Kumar Singh, Vikas Saxena",2017/1/12,"2017 7th International Conference on Cloud Computing, Data Science & Engineering-Confluence",586-590,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Data-parallel full reference algorithm for dropped frame identification in uncompressed video using genetic algorithm,2,2013,"Manish K Thakur, Vikas Saxena, JP Gupta",2013/8/8,2013 Sixth International Conference on Contemporary Computing (IC3),467-471,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
DEM registration using watershed algorithm and chain coding,2,2011,"Suma Dawn, Vikas Saxena, Bhudev Sharma",2011/3/25,Proceedings of the Fourth Annual ACM Bangalore Conference,8,ACM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Diabetic retinopathy detection using feedforward neural network,1,2017,"Jayant Yadav, Manish Sharma, Vikas Saxena",2017/8/10,2017 Tenth International Conference on Contemporary Computing (IC3),1-3,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Collusion Attack Resistant SVD Based Secured Audio Watermarking Scheme with Chaotic Encryption,,2018,"Tribhuwan KumarTewari, Vikas Saxena",2018/8/2,2018 Eleventh International Conference on Contemporary Computing (IC3),1-5,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessing the Scar Images to Check Medical Treatment Effectiveness,,2018,"Prateechi Singh, Vikas Saxena",2018/2/22,2018 5th International Conference on Signal Processing and Integrated Networks (SPIN),624-629,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exploring the effectiveness of various texture features for change detection in remote sensing images,,2017,"Madhu Khurana, Vikas Saxena",2017/7/1,"2017 International Conference on Computer, Communications and Electronics (Comptelix)",96-100,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
