Paper_Name,Total_cite_count,Publish_year,Authors,Publication_date,Conference,Pages,Publisher,cite_in_2000,cite_in_2001,cite_in_2002,cite_in_2003,cite_in_2004,cite_in_2005,cite_in_2006,cite_in_2007,cite_in_2008,cite_in_2009,cite_in_2010,cite_in_2011,cite_in_2012,cite_in_2013,cite_in_2014,cite_in_2015,cite_in_2016,cite_in_2017,cite_in_2018,cite_in_2019
Systematic Design of Trust Management Systems for Wireless Sensor Networks: A Review,"20
*",2014,"P Raghu Vamsi, Krishna Kant",2014/2/8,"Advanced Computing & Communication Technologies (ACCT), 2014 Fourth International Conference on",208-215,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,2,2,0
A lightweight Sybil attack detection framework for Wireless Sensor Networks,16,2014,"P.Raghu Vamsi, Krishna Kant",2014/8,"2014 Seventh International Conference on Contemporary Computing (IC3),",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,1,0
Bt-gpsr: An integrated trust model for secure geographic routing in wireless sensor networks,10,2014,"P Raghu Vamsi, Payal Khurana Batra, Krishna Kant",2014/5/28,2014 Students Conference on Engineering and Systems,1-6,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,2
Sybil attack detection using sequential hypothesis testing in wireless sensor networks,9,2014,"P Raghu Vamsi, Krishna Kant",2014/7/12,2014 International Conference on Signal Propagation and Computer Technology (ICSPCT 2014),698-702,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,1
Secure Data Aggregation and Intrusion Detection in Wireless Sensor Networks,6,2015,"P Raghu Vamsi, Kant Krishna",2015/3,2015 International Conference on Signal Processing and Communicaitons,,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1
A Taxonomy of Key Management Schemes of Wireless Sensor Networks,5,2015,"P Raghu Vamsi, Krishna Kant",2015/2,5th International Conference on Advanced Computing & Communication Technologies (ACCT-2015),,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0
Adaptive trust model for secure geographic routing in wireless sensor networks,5,2014,"P Raghu Vamsi, Krishna Kant",2014/8/7,2014 Seventh International Conference on Contemporary Computing (IC3),394-399,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0
Performance analysis of trust based geographic routing protocols for wireless sensor networks,1,2014,"P Raghu Vamsi, Krishna Kant",2014/12/11,"2014 International Conference on Parallel, Distributed and Grid Computing",318-323,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DV-HOP Based Hybrid Range-Free Localization Methods for Wireless Sensor Networks,,2018,"Ananya Dwivedi, P Raghu Vamsi",2018/2/9,International Conference on Futuristic Trends in Network and Communication Technologies,452-463,"Springer, Singapore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Performance analysis of range free localization methods for wireless sensor networks,,2017,P. R. Vamsi A. Dwivedi,2017/9,"2017 4th International Conference on Signal Processing, Computing and Control (ISPCC)",521-526,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trust Aware Resilient Geographic Routing in Wireless Ad Hoc and Sensor Networks,,2015,"P Raghu Vamsi, Krishna Kant",2015/12/30,Compute '15 Proceedings of the 8th Annual ACM India Conference,29-35,ACM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Performance Evaluation of Hierarchical Protocols LEACH, LEACH-C and PEGASIS in NS-2",,2014,"Payal Khurana Batra, P Raghu Vamsi, Krishna Kant",2014/8,"International Conference on Emerging Trends in Science and Technology, Sehore, India",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Energy Efficient Clustering Algorithms for Wireless Sensor Networks,,2014,"Payal Khurana Batra, P Raghu Vamsi, Krishna Kant",2014/4,"I2CT, Pune, Inida",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simulating Wireless sensor networks : A Study on Security Systems using NS-2,,2012,"P Raghu Vamsi, Jayadev Gyani",2012/6,"ICRTCS, Chennai, India",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simulation of Remote Home Security System based on Wireless sensor Networks using NS2,,2012,"P Raghu Vamsi, Jayadev Gyani",2012/6,"ICETEM, Rohtak, India",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Framework for Dynamic Reconfiguration of Java Based Software,,2007,"P Raghu Vamsi, Fusiuddin",2007/7,"First international conference on Global Software Development, Coiambator, India",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Token Coherence : A Road Map,,2005,P. Raghu Vamsi,2005/11,"National Conference on Emerging Trends in Computer Science and Engineering, Hyderabad, India",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
