Paper_Name,Total_cite_count,Publish_year,Authors,Publication_date,Journal,Volume,Issue,Pages,Publisher,cite_in_2000,cite_in_2001,cite_in_2002,cite_in_2003,cite_in_2004,cite_in_2005,cite_in_2006,cite_in_2007,cite_in_2008,cite_in_2009,cite_in_2010,cite_in_2011,cite_in_2012,cite_in_2013,cite_in_2014,cite_in_2015,cite_in_2016,cite_in_2017,cite_in_2018,cite_in_2019
Self Adaptive Trust Model for Secure Geographic Routing in Wireless Sensor Networks,12,2015,"P Raghu Vamsi, Krishna Kant",2015/3,International Journal of Intelligent Systems and Applications,7,3,21-28,MECS Press,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,2,0
An improved trusted greedy perimeter stateless routing for wireless sensor networks,12,2014,"P Raghu Vamsi, Krishna Kant",2014/10/1,International Journal of Computer Network and Information Security,6,11,13,Modern Education and Computer Science Press,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,3,0
Trust and location-aware routing protocol for wireless sensor networks,11,2016,"P Raghu Vamsi, Krishna Kant",2016/9/2,IETE Journal of Research,62,5,634-644,Taylor & Francis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,0
DETECTING SYBIL ATTACKS IN WIRELESS SENSOR NETWORKS USING SEQUENTIAL ANALYSIS,7,2016,"P Raghu Vamsi, Krishna Kant",2016/6/1,International Journal on Smart Sensing and Intelligent Systems,9,2,651-680,Massy University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0
TRUST AWARE DATA AGGREGATION AND INTRUSION DETECTION SYSTEM FOR WIRELESS SENSOR NETWORKS,3,2016,"P Raghu Vamsi, Krishna Kant",2016/6/1,International Journal on Smart Sensing and Intelligent Systems,9,2,537-562,Massy University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Generalized trust model for cooperative routing in MANETs,2,2017,"P Raghu Vamsi, Krishna Kant",2017/12/1,Wireless Personal Communications,97,3,4385-4412,Springer US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Trust aware cooperative optimised link state routing protocol,2,2017,"Raghu Vamsi Potukuchi, Krishna Kant",2017,"International Journal of Systems, Control and Communications",8,1,1-21,Inderscience Publishers (IEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Detecting location-based attacks in wireless sensor networks using sequential analysis,1,2015,"Raghu Vamsi Potukuchi, Krishna Kant",2015/9/3,IETE Journal of Research,61,5,541-551,Taylor & Francis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Trust and reputation aware geographic routing method for wireless ad hoc networks,,2018,"P Raghu Vamsi, Krishna Kant",2018,International Journal of Ad Hoc and Ubiquitous Computing,27,2,121-137,Inderscience Publishers (IEL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trust aware cooperative routing method for WANETs,,2016,"P Raghu Vamsi, Krishna Kant",2016/12,Security and Communication Networks,9,18,6189-6201,"John Wiley & Sons, Ltd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TESTBED EVALUATION OF SELF-ADAPTIVE TRUST MODEL FOR COOPERATIVE GEOGRAPHIC ROUTING IN WIRELESS SENSOR NETWORKS,,2016,"P Raghu Vamsi, Krishna Kant",2016/9/1,International Journal on Smart Sensing and Intelligent Systems,9,3,1362-1383,"Massey University, New Zealand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
