Paper_Name,Total_cite_count,Publish_year,Authors,Publication_date,Conference,Pages,Publisher,cite_in_2000,cite_in_2001,cite_in_2002,cite_in_2003,cite_in_2004,cite_in_2005,cite_in_2006,cite_in_2007,cite_in_2008,cite_in_2009,cite_in_2010,cite_in_2011,cite_in_2012,cite_in_2013,cite_in_2014,cite_in_2015,cite_in_2016,cite_in_2017,cite_in_2018,cite_in_2019
EMIA: Emotion Model for Intelligent Agent,7,2015,"Shikha Jain, Krishna Asawa",2015/12,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0
Emotional Computer: Design Challenges and Opportunities,5,2015,"Shikha Jain, Krishna Asawa",2015/7/1,,35-56,IGI Global,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1
EmET: Emotion Elicitation and Emotion Transition Model,5,2015,"Shikha Jain, Krishna Asawa",2015,,209-217,Springer India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0
EmoXract: Domain independent emotion mining model for unstructured data,5,2014,"Akriti Saini, Nishank Bhatia, Bhavya Suri, Shikha Jain",2014/8/7,"Contemporary Computing (IC3), 2014 Seventh International Conference on",94-98,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0
Programming an Expressive Autonomous Agent,3,2016,"Shikha Jain, Krishna Asawa",2016/1,,131–141,Pergamon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
StuA: An Intelligent Student Assistant,2,2018,"Pooja Lodhi, Omji Mishra, Shikha Jain, Vasvi Bajaj",2018,,17-25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Formalization of Event Perception and Event Appraisal Process,2,2015,"Shikha Jain, Krishna Asawa",2015/6,,69-73,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Modeling of Emotion Elicitation Conditions for a Cognitive-Emotive Architecture,1,2019,"Shikha Jain, Krishna Asawa",2019/6,,60-76,Elsevier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Improved APIT localization algorithm in wireless sensor networks,1,2017,"Shubhankar Jain, Akanksha Singh, Amanpreet Kaur, Shikha Jain",2017/9/21,"Signal Processing, Computing and Control (ISPCC), 2017 4th International Conference on",77-81,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CPLAG: Efficient plagiarism detection using bitwise operations,1,2017,"Shikha Jain, Parmeet Kaur, Mukta Goyal, G Dhanalekshmi",2017/8/1,2017 Tenth International Conference on Contemporary Computing (IC3),1-5,IEEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Personality and Education Mining based Job Advisory System,1,2014,"Rajendra S Choudhary, Rajul Kukreja, Nitika Jain, Shikha Jain",2014/9/1,,30-34,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Speaker Identification Based Proxy Attendance Detection System,,2019,"Naman Gupta, Shikha Jain",2019,"INTERNATIONAL CONFERENCE ON SIGNAL PROCESSING AND COMMUNICATION, ICSC 2019",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reconceptualizing Examination Debar Criteria using Fuzzy Logic,,2019,"Shikha Jain, Parmeet Kaur",2019,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Self-learning knowledge base using Naïve Bayes classifier,,2018,"Pooja Lodhi, Omji Mishra, Shikha Jain",2018/12,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sustainable Waste Management Model,,2018,"Rishabh Jain, Shreya Garg, Tarushi Agrawal, Saurabh Gangal, Indu Chawla, Shikha Jain",2018/8,"Contemporary Computing (IC3), 2018 Eleventh International Conference on,",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thwarting Spam on Facebook: Identifying Spam Posts Using Machine Learning Techniques,,2018,"Arti Jain, Reetika Gairola, Shikha Jain, Anuja Arora",2018,,57-70,IGI Global,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A STRING RETRIEVAL TECHNIQUE,,2007,Shikha Jain,2007/4,"Proc. National Conference on Emerging Trends and Applications in Computer Engineering (NCETA 2007), Ajmer",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equivalence of Fuzzy Functional Dependency Statement with Fuzzy Implication Statements,,2006,"Shikha Jain, Devendra Tayal",2006/2,"Proc. National Conference on Energy Computer and Communication NC-ECC’06, 2006",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
